T104,LUBELAND_MRM,Arrived,FUEL&LUBE,12.8,
T469,LUBELAND_MRM,En-Route,En-Route,3.3,S2905
T472,LUBELAND_MRM,En-Route,En-Route,7.9,S2905

Truck2,FieldFueltank1,Textbox163,Hour
T112,"5,110",56.9%,12
T470,"2,498",100.0%,10
T118,"3,866",70.0%,7
T121,"3,866",75.0%,6
T133,"3,866",74.3%,6
T132,"5,110",65.4%,6

unit,Material,textbox19,mins,operator,NextLocation1,NextShovelAssignment1,Projection1

ArriveType,Shovel1,Textbox118,SecondsEarly,QueueTime,SpotTime,LoadingTime
MANUAL EARLY,S006,5,135,184,72,165
MANUAL EARLY,S011,2,66,89,106,127
MANUAL EARLY,S013,4,173,263,71,143
MANUAL EARLY,S014,4,30,64,61,130
MANUAL EARLY,S015,6,190,174,69,111
MANUAL EARLY,S808,4,77,307,89,184
MANUAL EARLY,S810,4,239,423,104,126
No GPS,S006,2,0,0,10,190
No GPS,S011,3,0,0,149,40
No GPS,S014,3,0,0,12,75
No GPS,S015,3,0,104,40,125
No GPS,S810,1,0,0,1,2

PrevDumpLocation,LoadLocation,ActualEmptyDistance,Count1,LocationFrom,LocationTo,Direction

FieldId3,CurrentLocation3,StartElevation,EndElevation,FieldXloc2
DY_IPD7_NORTH_CORE_547,IPD7-HERO1,10,257,94.6
DU_SIERRA,VIPER-3,10,255,61.1
PLATTY-01,SD1,258,265,7.8
ST_VIPER_SAND,VIPER-11,267,275,7.3

FieldId,CurrentLocation,Dist,beaconsize,Textbox48,Textbox51
S006,MRM-250W-S006,52.0,100,Yes,76.9%
S011,MRM-221F-S011,16.3,100,Yes,70.8%
S013,SKB-241E-S013,69.0,100,Yes,82.1%
S014,MRM-226F-S014,24.8,100,Yes,77.1%
S015,MRM-255W-S015,99.0,100,Yes,71.0%
S2503,IPD7-HERO,1217.8,20,Yes,NaN
S302,PRJ-CLN-IPD7-S302,2.2,0,Yes,0.0%
S808,MRM-249E-S808,43.1,100,Yes,81.8%

DumpLoc,Dist2,Beaconsize2,AutoArriveOn2,ManualArrive2,NOGPS2,AutoArrive2,TotalArrive2
CR2_MRM,6364422,Polygon,Yes,8,3,50,82.0%
DU_IPD6_HWY_541,150,NONE,Yes,0,18,0,0.0%
DU_LWR_CADILLAC_518,22,Polygon,Yes,8,6,19,57.6%
DU_SKB_D1_540_NTWZ,19,Polygon,Yes,0,0,2,100.0%
DY_DY7_SANDCHIMNEY_4026,128,NONE,No,0,16,0,0.0%
DY_IPD7_NORTH_CORE_547,6,NONE,No,0,35,0,0.0%
DY_PD7_GF_530,170,NONE,No,0,17,0,0.0%

TruckOperatorName,AutoArrive,ManualNoGPS,ManualEarly,Textbox103,Textbox99,Textbox100,Textbox101,Textbox104
SOBREIRO RAFAEL FMG,0,0,5,100%,108,50,36,19%
BROWN TYLER FMG,0,4,3,43%,108,50,36,19%
BALAN BRANDON,0,4,3,43%,108,50,36,19%
FALK TERRY,0,4,2,33%,108,50,36,19%
OLIVERI MARCELO FMG,2,0,2,50%,108,50,36,19%
POWER JAMES FMG,3,0,2,40%,108,50,36,19%
SAUDER JOHN FMG,2,0,2,50%,108,50,36,19%
MCDONALD CAM FMG,0,3,2,40%,108,50,36,19%

Truck,WrongArrival,ExpectedArrival,Count

ArriveType2,Textbox136,SecondsEarly2,QueueTime2,SpotTime2,LoadingTime2
AUTOARRIVE,153,0,87,53,145
MANUAL EARLY,29,139,220,79,141
No GPS,12,0,26,52,92

