GENERAL READY
2.3 Hour(s)","JPM-251E-120
Bit:10.97 Fines: 8.53 D50:265.4","JPM-J251-JUN24
Elev: 252.7 Target: 252.4
0.3 (High)",PARDY MICHAEL,"797's: 363.8
","797's: 354.9
",Cable Electric Totals:,"797's: 348.0
","797's: 339.7
","797's: 351.9
785's: 128.8
","797's: 345.1
785's: 115.3
"
Hydraulic,"S2504
HIT 2500","Ready
GENERAL READY
1.0 Hour(s)","ST_CR_LIVEPILE-ORE
Bit:11.85 Fines: 12.09 D50:260.7","JPM-STKPL-LIVEPILE
Elev: 269.3 Target: 269.0
0.3 (High)",LOCKHART ROBERT,"785's: 128.8
","785's: 115.3
",Hydraulic Totals:,"797's: 364.5
785's: 128.8
","797's: 356.2
785's: 115.3
","797's: 351.9
785's: 128.8
","797's: 345.1
785's: 115.3
"
Hydraulic,"S809
HIT 8000","Delay
 FUEL&LUBE-HYD SHVL
23 Minute(s)","JPM-248E-22
Bit:10.82 Fines: 11.34 D50:250.7","JPM-J248-JUL09
Elev: 249.1 Target: 248.0
1.1 (High)",HUMPHRIES COREY,"797's: 364.5
","797's: 356.2
",Hydraulic Totals:,"797's: 364.5
785's: 128.8
","797's: 356.2
785's: 115.3
","797's: 351.9
785's: 128.8
","797's: 345.1
785's: 115.3
"

Shovel,GradeGPS,MTGPS,GradeOPER,MTOPER,Category,Minutes,LoadCount
S007,JPM-266E-0,Ore,JPM-266E--DW,DumpWaste,Ore to Waste,4.6,1
S2504,,,ST_CR_LIVEPILE-ORE,Ore,No GPS Grade,6.6,1

textbox2,textbox10,textbox14,textbox5,textbox11,NextLocation,MinsRemain,NextShovelAssignment,Projection,textbox15,FieldFueltank,RemainFuelPercent
#Error,#Error,#Error,T102,Ready,DU_DUMP4W_SLOP,1.8,S007,No,#Error,5110,21.93%
#Error,#Error,#Error,T137,Ready,CR1_JPM,2.8,,No,#Error,3866,22.14%
#Error,#Error,#Error,T165,Delay,LUBELAND_2_JPM,3.6,,No,#Error,5110,22.54%
#Error,#Error,#Error,T139,Ready,JPM-250-S010,912.7,S010,Yes,#Error,5110,39.36%
#Error,#Error,#Error,T147,Ready,CR1_JPM,3.0,,No,#Error,3785,41.18%
#Error,#Error,#Error,T168,Ready,JPM-266-S007,912.7,S007,Yes,#Error,3785,45.26%
#Error,#Error,#Error,T134,Ready,JPM-248-S809,2.1,S809,Yes,#Error,3866,53.42%
#Error,#Error,#Error,T158,Ready,JPM-251-S016,1.2,S016,No,#Error,5110,58.92%
#Error,#Error,#Error,T474,Ready,REJ_JPM,912.7,S2923,Yes,#Error,2498,61.81%
#Error,#Error,#Error,T463,Ready,CR1_JPM,2.0,S2923,No,#Error,2498,62.85%

Truck3,NextLocation3,Category1,Reason,MinsRemain1,NextShovelAssignment2
T165,LUBELAND_2_JPM,Arrived,FUEL&LUBE,3.6,

Truck2,FieldFueltank1,Textbox163,Hour
T149,"3,785",63.2%,10
T144,"3,785",100.0%,1
T171,"3,785",97.3%,1

unit,Material,textbox19,mins,operator,NextLocation1,NextShovelAssignment1,Projection1
T165,Empty,FUEL&LUBE,3.6,SCHAAF WILLIAM FMG,LUBELAND_2_JPM,,No

ArriveType,Shovel1,Textbox118,SecondsEarly,QueueTime,SpotTime,LoadingTime
MANUAL EARLY,S010,1,13,192,74,289
No GPS,S007,6,0,0,33,137
No GPS,S010,26,0,113,67,231
No GPS,S016,27,0,81,73,193
No GPS,S809,20,0,99,74,245

PrevDumpLocation,LoadLocation,ActualEmptyDistance,Count1,LocationFrom,LocationTo,Direction

FieldId3,CurrentLocation3,StartElevation,EndElevation,FieldXloc2

